crime_id,crime_type,month,latitude,longitude,street_name,outcome,force_id,neighbourhood_id
105418579,anti-social-behaviour,2022-10,53.813614,-1.732315,On or near Pelham Road,,west-yorkshire,BDT_BE
105419007,anti-social-behaviour,2022-10,53.826094,-1.714689,On or near Ruswarp Crescent,,west-yorkshire,BDT_BE
105418948,anti-social-behaviour,2022-10,53.831954,-1.726242,On or near Applehaigh Close,,west-yorkshire,BDT_BE
105420619,anti-social-behaviour,2022-10,53.823972,-1.730001,On or near Farm Hill Court,,west-yorkshire,BDT_BE
105418837,anti-social-behaviour,2022-10,53.832020,-1.735586,On or near Highfield Avenue,,west-yorkshire,BDT_BE
105418792,anti-social-behaviour,2022-10,53.821478,-1.712700,On or near Lambourne Avenue,,west-yorkshire,BDT_BE
105418789,anti-social-behaviour,2022-10,53.826094,-1.714689,On or near Ruswarp Crescent,,west-yorkshire,BDT_BE
105418703,anti-social-behaviour,2022-10,53.821622,-1.728011,On or near Mount Avenue,,west-yorkshire,BDT_BE
105418700,anti-social-behaviour,2022-10,53.831291,-1.723207,On or near Parkland Drive,,west-yorkshire,BDT_BE
105418694,anti-social-behaviour,2022-10,53.810819,-1.736236,On or near Webb Drive,,west-yorkshire,BDT_BE
105418688,anti-social-behaviour,2022-10,53.832589,-1.724779,On or near Fairhaven Green,,west-yorkshire,BDT_BE
105418687,anti-social-behaviour,2022-10,53.820390,-1.708788,On or near Holywell Drive,,west-yorkshire,BDT_BE
105418685,anti-social-behaviour,2022-10,53.831291,-1.723207,On or near Parkland Drive,,west-yorkshire,BDT_BE
105418682,anti-social-behaviour,2022-10,53.824577,-1.731273,On or near ,,west-yorkshire,BDT_BE
105418642,anti-social-behaviour,2022-10,53.830882,-1.721508,On or near Hawthorn Drive,,west-yorkshire,BDT_BE
105418596,anti-social-behaviour,2022-10,53.824856,-1.735631,On or near Althorpe Grove,,west-yorkshire,BDT_BE
105418595,anti-social-behaviour,2022-10,53.815928,-1.718357,On or near Kimberwicke Walk,,west-yorkshire,BDT_BE
105418570,anti-social-behaviour,2022-10,53.830882,-1.721508,On or near Hawthorn Drive,,west-yorkshire,BDT_BE
105420618,anti-social-behaviour,2022-10,53.826094,-1.714689,On or near Ruswarp Crescent,,west-yorkshire,BDT_BE
105420616,anti-social-behaviour,2022-10,53.816193,-1.708893,On or near Langdale Road,,west-yorkshire,BDT_BE
105420479,anti-social-behaviour,2022-10,53.832281,-1.739808,On or near Sandhill Fold,,west-yorkshire,BDT_BE
105419318,anti-social-behaviour,2022-10,53.815496,-1.737938,On or near Grovelands,,west-yorkshire,BDT_BE
105419442,anti-social-behaviour,2022-10,53.830882,-1.721508,On or near Hawthorn Drive,,west-yorkshire,BDT_BE
105420321,anti-social-behaviour,2022-10,53.816454,-1.712704,On or near Findon Terrace,,west-yorkshire,BDT_BE
105420323,anti-social-behaviour,2022-10,53.823972,-1.730001,On or near Farm Hill Court,,west-yorkshire,BDT_BE
