crime_id,crime_type,month,latitude,longitude,street_name,outcome,force_id,neighbourhood_id
107301482,anti-social-behaviour,2022-12,51.823385,-0.825976,On or near ,,thames-valley,N106
107301129,anti-social-behaviour,2022-12,51.814819,-0.807995,On or near ,,thames-valley,N106
107301134,anti-social-behaviour,2022-12,51.814819,-0.807995,On or near ,,thames-valley,N106
107301135,anti-social-behaviour,2022-12,51.814819,-0.807995,On or near ,,thames-valley,N106
107301177,anti-social-behaviour,2022-12,51.815561,-0.826759,On or near St Anthony's Close,,thames-valley,N106
107300946,anti-social-behaviour,2022-12,51.803922,-0.803957,On or near Simpson Place,,thames-valley,N106
107300986,anti-social-behaviour,2022-12,51.805751,-0.815034,On or near Verney Walk,,thames-valley,N106
107301312,anti-social-behaviour,2022-12,51.818487,-0.813684,On or near Buckingham Street,,thames-valley,N106
107301050,anti-social-behaviour,2022-12,51.811193,-0.824175,On or near Battersby Mews,,thames-valley,N106
107301224,anti-social-behaviour,2022-12,51.816979,-0.831017,On or near St Anne's Road,,thames-valley,N106
107301262,anti-social-behaviour,2022-12,51.816979,-0.831017,On or near St Anne's Road,,thames-valley,N106
107301524,anti-social-behaviour,2022-12,51.825897,-0.810225,On or near Wickham Close,,thames-valley,N106
107301459,anti-social-behaviour,2022-12,51.823076,-0.804234,On or near Tindal Road,,thames-valley,N106
107301326,anti-social-behaviour,2022-12,51.818487,-0.813684,On or near Buckingham Street,,thames-valley,N106
107301227,anti-social-behaviour,2022-12,51.816343,-0.804398,On or near Hilda Wharf,,thames-valley,N106
107301250,anti-social-behaviour,2022-12,51.817120,-0.808280,On or near ,,thames-valley,N106
107301395,anti-social-behaviour,2022-12,51.820783,-0.822924,On or near Blake Street,,thames-valley,N106
107301445,anti-social-behaviour,2022-12,51.822290,-0.795012,On or near Douglas Road,,thames-valley,N106
107301542,bicycle-theft,2022-12,51.826648,-0.799162,On or near Aiston Place,Investigation complete; no suspect identified,thames-valley,N106
107301371,bicycle-theft,2022-12,51.820064,-0.816675,On or near Ardenham Lane,Investigation complete; no suspect identified,thames-valley,N106
107301255,bicycle-theft,2022-12,51.817286,-0.809610,On or near Hale Street,Investigation complete; no suspect identified,thames-valley,N106
107301097,burglary,2022-12,51.812901,-0.808942,On or near Walton Street,Investigation complete; no suspect identified,thames-valley,N106
107300984,burglary,2022-12,51.806470,-0.813231,On or near Ceely Road,Investigation complete; no suspect identified,thames-valley,N106
107301123,burglary,2022-12,51.813755,-0.811647,On or near ,Investigation complete; no suspect identified,thames-valley,N106
107301080,burglary,2022-12,51.811193,-0.824175,On or near Battersby Mews,Court result unavailable,thames-valley,N106
107301090,burglary,2022-12,51.811987,-0.808400,On or near Viridian Square,Status update unavailable,thames-valley,N106
