crime_id,crime_type,month,latitude,longitude,street_name,outcome,force_id,neighbourhood_id
107800189,anti-social-behaviour,2023-01,51.826097,-0.809523,On or near Bardon Green,,thames-valley,N106
107799735,anti-social-behaviour,2023-01,51.812824,-0.793495,On or near Walton Way,,thames-valley,N106
107800199,anti-social-behaviour,2023-01,51.826852,-0.799723,On or near Cheney Way,,thames-valley,N106
107800200,anti-social-behaviour,2023-01,51.826852,-0.799723,On or near Cheney Way,,thames-valley,N106
107799948,anti-social-behaviour,2023-01,51.818060,-0.791121,On or near Wingate Walk,,thames-valley,N106
107799955,anti-social-behaviour,2023-01,51.819000,-0.809260,On or near St John's Road,,thames-valley,N106
107799825,anti-social-behaviour,2023-01,51.815896,-0.811765,On or near Long Lional,,thames-valley,N106
107800258,anti-social-behaviour,2023-01,51.829669,-0.813374,On or near ,,thames-valley,N106
107799650,anti-social-behaviour,2023-01,51.807303,-0.791757,On or near Turnfurlong Lane,,thames-valley,N106
107799774,anti-social-behaviour,2023-01,51.814819,-0.807995,On or near ,,thames-valley,N106
107800182,anti-social-behaviour,2023-01,51.826635,-0.802282,On or near Bryanston Avenue,,thames-valley,N106
107799916,anti-social-behaviour,2023-01,51.817793,-0.812600,On or near ,,thames-valley,N106
107799936,anti-social-behaviour,2023-01,51.818487,-0.813684,On or near Buckingham Street,,thames-valley,N106
107799559,anti-social-behaviour,2023-01,51.803056,-0.817976,On or near Vicarage Road,,thames-valley,N106
107800171,anti-social-behaviour,2023-01,51.826212,-0.814671,On or near Fawcett Mews,,thames-valley,N106
107799888,anti-social-behaviour,2023-01,51.817578,-0.809109,On or near ,,thames-valley,N106
107799887,anti-social-behaviour,2023-01,51.817578,-0.809109,On or near ,,thames-valley,N106
107799884,anti-social-behaviour,2023-01,51.817120,-0.808280,On or near ,,thames-valley,N106
107799797,anti-social-behaviour,2023-01,51.816095,-0.809163,On or near ,,thames-valley,N106
107800202,anti-social-behaviour,2023-01,51.826535,-0.811906,On or near Megdale Place,,thames-valley,N106
107799710,anti-social-behaviour,2023-01,51.812324,-0.809755,On or near ,,thames-valley,N106
107800026,anti-social-behaviour,2023-01,51.820851,-0.813535,On or near Silverdale Close,,thames-valley,N106
107800257,anti-social-behaviour,2023-01,51.829669,-0.813374,On or near ,,thames-valley,N106
107799609,anti-social-behaviour,2023-01,51.806470,-0.813231,On or near Ceely Road,,thames-valley,N106
107799714,anti-social-behaviour,2023-01,51.812324,-0.809755,On or near ,,thames-valley,N106
107800117,anti-social-behaviour,2023-01,51.823553,-0.804250,On or near Rainborough Gardens,,thames-valley,N106
107799789,bicycle-theft,2023-01,51.815011,-0.813387,On or near ,Investigation complete; no suspect identified,thames-valley,N106
107799873,bicycle-theft,2023-01,51.817043,-0.811299,On or near ,Investigation complete; no suspect identified,thames-valley,N106
107799985,bicycle-theft,2023-01,51.819410,-0.814226,On or near ,Unable to prosecute suspect,thames-valley,N106
107799852,bicycle-theft,2023-01,51.817043,-0.811299,On or near ,Investigation complete; no suspect identified,thames-valley,N106
107799981,burglary,2023-01,51.819497,-0.823770,On or near Gatehouse Road,Investigation complete; no suspect identified,thames-valley,N106
107799781,burglary,2023-01,51.815037,-0.824699,On or near Wycliffe End,Investigation complete; no suspect identified,thames-valley,N106
107799848,burglary,2023-01,51.816386,-0.813942,On or near Temple Street,Unable to prosecute suspect,thames-valley,N106
107799856,burglary,2023-01,51.817043,-0.811299,On or near Shopping Area,Court result unavailable,thames-valley,N106
107799944,burglary,2023-01,51.818526,-0.816643,On or near Nelson Terrace,Unable to prosecute suspect,thames-valley,N106
107799737,burglary,2023-01,51.813859,-0.807669,On or near Old Brewery Close,Unable to prosecute suspect,thames-valley,N106
107800206,burglary,2023-01,51.828054,-0.817235,On or near Parker Walk,Unable to prosecute suspect,thames-valley,N106
107799988,burglary,2023-01,51.820064,-0.816675,On or near Ardenham Lane,Unable to prosecute suspect,thames-valley,N106
107799795,burglary,2023-01,51.815570,-0.797338,On or near Albert Street,Unable to prosecute suspect,thames-valley,N106
107800069,burglary,2023-01,51.822832,-0.820157,On or near Southern Road,Unable to prosecute suspect,thames-valley,N106
107800020,burglary,2023-01,51.820609,-0.831634,On or near Griffin Lane,Investigation complete; no suspect identified,thames-valley,N106
107800235,criminal-damage-arson,2023-01,51.828556,-0.811765,On or near Tofield Close,Investigation complete; no suspect identified,thames-valley,N106
107799768,criminal-damage-arson,2023-01,51.814819,-0.807995,On or near ,Investigation complete; no suspect identified,thames-valley,N106
107800120,criminal-damage-arson,2023-01,51.823253,-0.825326,On or near Haydon Road,Investigation complete; no suspect identified,thames-valley,N106
107799777,criminal-damage-arson,2023-01,51.814819,-0.807995,On or near ,Investigation complete; no suspect identified,thames-valley,N106
107799778,criminal-damage-arson,2023-01,51.814819,-0.807995,On or near ,Investigation complete; no suspect identified,thames-valley,N106
107799713,criminal-damage-arson,2023-01,51.812324,-0.809755,On or near Parking Area,Unable to prosecute suspect,thames-valley,N106
107800181,criminal-damage-arson,2023-01,51.826212,-0.814671,On or near Fawcett Mews,Unable to prosecute suspect,thames-valley,N106
107800054,criminal-damage-arson,2023-01,51.821434,-0.819972,On or near Petrol Station,Unable to prosecute suspect,thames-valley,N106
107800055,criminal-damage-arson,2023-01,51.822109,-0.828751,On or near Goldswain End,Offender given a caution,thames-valley,N106
107799878,criminal-damage-arson,2023-01,51.817793,-0.812600,On or near ,Unable to prosecute suspect,thames-valley,N106
107799788,criminal-damage-arson,2023-01,51.815011,-0.813387,On or near ,Offender given a caution,thames-valley,N106
107799736,criminal-damage-arson,2023-01,51.813070,-0.814987,On or near Coxhill Way,Status update unavailable,thames-valley,N106
107799645,criminal-damage-arson,2023-01,51.807704,-0.804525,On or near Poets Chase,Unable to prosecute suspect,thames-valley,N106
107799829,criminal-damage-arson,2023-01,51.815764,-0.805820,On or near Albion Street,Unable to prosecute suspect,thames-valley,N106
107799726,criminal-damage-arson,2023-01,51.812824,-0.819171,On or near Thame Road,Investigation complete; no suspect identified,thames-valley,N106
107800262,criminal-damage-arson,2023-01,51.829669,-0.813374,On or near ,Unable to prosecute suspect,thames-valley,N106
107800022,criminal-damage-arson,2023-01,51.821577,-0.816911,On or near Williams Close,Unable to prosecute suspect,thames-valley,N106
107799928,criminal-damage-arson,2023-01,51.818103,-0.812127,On or near ,Local resolution,thames-valley,N106
107800110,criminal-damage-arson,2023-01,51.822522,-0.810749,On or near Crown Leys,Investigation complete; no suspect identified,thames-valley,N106
107800087,criminal-damage-arson,2023-01,51.821753,-0.823697,On or near Edge Street,Investigation complete; no suspect identified,thames-valley,N106
107799913,criminal-damage-arson,2023-01,51.817578,-0.809109,On or near ,Investigation complete; no suspect identified,thames-valley,N106
107799709,criminal-damage-arson,2023-01,51.811987,-0.808400,On or near Viridian Square,Investigation complete; no suspect identified,thames-valley,N106
107799967,criminal-damage-arson,2023-01,51.818722,-0.820076,On or near Palmer Avenue,Investigation complete; no suspect identified,thames-valley,N106
107799712,criminal-damage-arson,2023-01,51.812747,-0.807060,On or near Croft Road,Investigation complete; no suspect identified,thames-valley,N106
107799899,criminal-damage-arson,2023-01,51.817844,-0.810524,On or near ,Court result unavailable,thames-valley,N106
107799715,criminal-damage-arson,2023-01,51.812324,-0.809755,On or near ,Status update unavailable,thames-valley,N106
107799752,criminal-damage-arson,2023-01,51.814481,-0.803446,On or near Queen's Park,Unable to prosecute suspect,thames-valley,N106
107799925,criminal-damage-arson,2023-01,51.817881,-0.809768,On or near ,Investigation complete; no suspect identified,thames-valley,N106
107799739,criminal-damage-arson,2023-01,51.813755,-0.811647,On or near ,Investigation complete; no suspect identified,thames-valley,N106
107800234,criminal-damage-arson,2023-01,51.828556,-0.811765,On or near Tofield Close,Status update unavailable,thames-valley,N106
107799686,criminal-damage-arson,2023-01,51.810125,-0.802154,On or near Walton Dene,Unable to prosecute suspect,thames-valley,N106
107800063,criminal-damage-arson,2023-01,51.821953,-0.805178,On or near Ascott Road,Investigation complete; no suspect identified,thames-valley,N106
107799855,criminal-damage-arson,2023-01,51.816684,-0.813166,On or near ,Investigation complete; no suspect identified,thames-valley,N106
107799680,criminal-damage-arson,2023-01,51.810793,-0.826477,On or near Hartwell End,Unable to prosecute suspect,thames-valley,N106
107799738,criminal-damage-arson,2023-01,51.813755,-0.811647,On or near ,Investigation complete; no suspect identified,thames-valley,N106
107799927,criminal-damage-arson,2023-01,51.817881,-0.809768,On or near ,Investigation complete; no suspect identified,thames-valley,N106
107800025,criminal-damage-arson,2023-01,51.820915,-0.819018,On or near West Street,Unable to prosecute suspect,thames-valley,N106
107799924,criminal-damage-arson,2023-01,51.818120,-0.815565,On or near St Mary's Square,Unable to prosecute suspect,thames-valley,N106
107800158,criminal-damage-arson,2023-01,51.825100,-0.818589,On or near Brenda's Way,Unable to prosecute suspect,thames-valley,N106
107800010,criminal-damage-arson,2023-01,51.821128,-0.803676,On or near Cannon Close,Court result unavailable,thames-valley,N106
107799914,drugs,2023-01,51.818131,-0.803407,On or near Park Street,Local resolution,thames-valley,N106
107800259,drugs,2023-01,51.829669,-0.813374,On or near ,Investigation complete; no suspect identified,thames-valley,N106
107799648,drugs,2023-01,51.806470,-0.813231,On or near Ceely Road,Unable to prosecute suspect,thames-valley,N106
107799690,drugs,2023-01,51.811332,-0.804965,On or near Walton Grove,Local resolution,thames-valley,N106
107799700,drugs,2023-01,51.811232,-0.811960,On or near York Place,Investigation complete; no suspect identified,thames-valley,N106
107799688,drugs,2023-01,51.811332,-0.804965,On or near Walton Grove,Court result unavailable,thames-valley,N106
107800024,drugs,2023-01,51.820610,-0.811945,On or near Havelock Street,Investigation complete; no suspect identified,thames-valley,N106
107800038,drugs,2023-01,51.820915,-0.819018,On or near West Street,Unable to prosecute suspect,thames-valley,N106
107800071,drugs,2023-01,51.821753,-0.823697,On or near Edge Street,Court result unavailable,thames-valley,N106
107800059,other-theft,2023-01,51.821753,-0.823697,On or near Edge Street,Investigation complete; no suspect identified,thames-valley,N106
107799943,other-theft,2023-01,51.818052,-0.810620,On or near Anchor Lane,Investigation complete; no suspect identified,thames-valley,N106
107800219,other-theft,2023-01,51.828637,-0.820702,On or near Beresford Avenue,Investigation complete; no suspect identified,thames-valley,N106
107800046,other-theft,2023-01,51.821423,-0.803465,On or near Dennis Street,Investigation complete; no suspect identified,thames-valley,N106
107799969,other-theft,2023-01,51.819408,-0.813109,On or near New Street,Investigation complete; no suspect identified,thames-valley,N106
107799703,other-theft,2023-01,51.811560,-0.805264,On or near William Harding Close,Unable to prosecute suspect,thames-valley,N106
107799773,other-theft,2023-01,51.815241,-0.815481,On or near Friarage Road,Investigation complete; no suspect identified,thames-valley,N106
107800175,other-theft,2023-01,51.826448,-0.803346,On or near Delamere Close,Investigation complete; no suspect identified,thames-valley,N106
107799808,other-theft,2023-01,51.815324,-0.790048,On or near ,Investigation complete; no suspect identified,thames-valley,N106
107799617,other-theft,2023-01,51.806470,-0.813231,On or near Ceely Road,Investigation complete; no suspect identified,thames-valley,N106
107800241,other-theft,2023-01,51.828554,-0.801810,On or near Dunsham Lane,Investigation complete; no suspect identified,thames-valley,N106
107799807,other-theft,2023-01,51.815324,-0.790048,On or near ,Investigation complete; no suspect identified,thames-valley,N106
107799734,other-theft,2023-01,51.812824,-0.793495,On or near Walton Way,Unable to prosecute suspect,thames-valley,N106
107799653,other-theft,2023-01,51.808321,-0.826541,On or near Bond Close,Investigation complete; no suspect identified,thames-valley,N106
107799876,other-theft,2023-01,51.817043,-0.811299,On or near ,Local resolution,thames-valley,N106
107800045,other-theft,2023-01,51.821675,-0.815980,On or near Sycamore Court,Court result unavailable,thames-valley,N106
107799812,other-theft,2023-01,51.815324,-0.790048,On or near ,Investigation complete; no suspect identified,thames-valley,N106
107799811,other-theft,2023-01,51.815324,-0.790048,On or near ,Unable to prosecute suspect,thames-valley,N106
107799857,other-theft,2023-01,51.816684,-0.813166,On or near ,Investigation complete; no suspect identified,thames-valley,N106
107799809,other-theft,2023-01,51.815324,-0.790048,On or near ,Unable to prosecute suspect,thames-valley,N106
107800049,other-theft,2023-01,51.821753,-0.823697,On or near Edge Street,Investigation complete; no suspect identified,thames-valley,N106
107800035,other-theft,2023-01,51.821434,-0.819972,On or near ,Investigation complete; no suspect identified,thames-valley,N106
107799693,other-theft,2023-01,51.811332,-0.804965,On or near Walton Grove,Unable to prosecute suspect,thames-valley,N106
107800034,other-theft,2023-01,51.822109,-0.828751,On or near Goldswain End,Unable to prosecute suspect,thames-valley,N106
107800111,other-theft,2023-01,51.822755,-0.814268,On or near Little Close,Investigation complete; no suspect identified,thames-valley,N106
107799643,other-theft,2023-01,51.807295,-0.824610,On or near Lavric Road,Status update unavailable,thames-valley,N106
107799810,other-theft,2023-01,51.815324,-0.790048,On or near ,Investigation complete; no suspect identified,thames-valley,N106
107799839,other-theft,2023-01,51.816352,-0.807038,On or near High Street,Unable to prosecute suspect,thames-valley,N106
107799692,other-theft,2023-01,51.811332,-0.804965,On or near Walton Grove,Investigation complete; no suspect identified,thames-valley,N106
107799801,other-theft,2023-01,51.816095,-0.809163,On or near ,Investigation complete; no suspect identified,thames-valley,N106
107800033,other-theft,2023-01,51.822109,-0.828751,On or near Goldswain End,Investigation complete; no suspect identified,thames-valley,N106
107799730,other-theft,2023-01,51.813070,-0.814987,On or near Coxhill Way,Investigation complete; no suspect identified,thames-valley,N106
107799931,possession-of-weapons,2023-01,51.818487,-0.813684,On or near Buckingham Street,Unable to prosecute suspect,thames-valley,N106
107799881,possession-of-weapons,2023-01,51.816343,-0.804398,On or near Hilda Wharf,Court result unavailable,thames-valley,N106
107799877,public-order,2023-01,51.817043,-0.811299,On or near ,Unable to prosecute suspect,thames-valley,N106
107799923,public-order,2023-01,51.817793,-0.812600,On or near ,Investigation complete; no suspect identified,thames-valley,N106
107799770,public-order,2023-01,51.814819,-0.807995,On or near ,Investigation complete; no suspect identified,thames-valley,N106
107799776,public-order,2023-01,51.815011,-0.813387,On or near ,Offender given a caution,thames-valley,N106
107799994,public-order,2023-01,51.819410,-0.814226,On or near ,Unable to prosecute suspect,thames-valley,N106
107799815,public-order,2023-01,51.815542,-0.793712,On or near Grecian Street,Unable to prosecute suspect,thames-valley,N106
107799794,public-order,2023-01,51.815184,-0.813379,On or near Great Western Street,Investigation complete; no suspect identified,thames-valley,N106
107799930,public-order,2023-01,51.818487,-0.813684,On or near Buckingham Street,Unable to prosecute suspect,thames-valley,N106
107799917,public-order,2023-01,51.817793,-0.812600,On or near ,Local resolution,thames-valley,N106
107800184,public-order,2023-01,51.826635,-0.802282,On or near Bryanston Avenue,Court result unavailable,thames-valley,N106
107799698,public-order,2023-01,51.811332,-0.804965,On or near Walton Grove,Local resolution,thames-valley,N106
107799926,public-order,2023-01,51.817881,-0.809768,On or near ,Unable to prosecute suspect,thames-valley,N106
107799814,public-order,2023-01,51.815322,-0.800319,On or near Petrol Station,Unable to prosecute suspect,thames-valley,N106
107799998,public-order,2023-01,51.819821,-0.806859,On or near Eastern Street,Investigation complete; no suspect identified,thames-valley,N106
107800086,public-order,2023-01,51.823248,-0.812326,On or near Lansdowne Road,Investigation complete; no suspect identified,thames-valley,N106
107800093,public-order,2023-01,51.822600,-0.801735,On or near ,Action to be taken by another organisation,thames-valley,N106
107800193,public-order,2023-01,51.826635,-0.802282,On or near Bryanston Avenue,Unable to prosecute suspect,thames-valley,N106
107799633,public-order,2023-01,51.806864,-0.815701,On or near Carrington Road,Unable to prosecute suspect,thames-valley,N106
107799634,public-order,2023-01,51.806864,-0.815701,On or near Carrington Road,Unable to prosecute suspect,thames-valley,N106
107799853,public-order,2023-01,51.817283,-0.821782,On or near The Serpentine,Unable to prosecute suspect,thames-valley,N106
107800094,public-order,2023-01,51.822600,-0.801735,On or near Prison,Unable to prosecute suspect,thames-valley,N106
107800039,public-order,2023-01,51.821423,-0.803465,On or near Dennis Street,Unable to prosecute suspect,thames-valley,N106
107799868,public-order,2023-01,51.817043,-0.811299,On or near ,Status update unavailable,thames-valley,N106
107799938,public-order,2023-01,51.818103,-0.812127,On or near Parking Area,Court result unavailable,thames-valley,N106
107799875,public-order,2023-01,51.817120,-0.808280,On or near ,Investigation complete; no suspect identified,thames-valley,N106
107799799,public-order,2023-01,51.816095,-0.809163,On or near ,Investigation complete; no suspect identified,thames-valley,N106
107800018,public-order,2023-01,51.821005,-0.812791,On or near Fleet Street,Court result unavailable,thames-valley,N106
107800183,public-order,2023-01,51.826635,-0.802282,On or near Bryanston Avenue,Unable to prosecute suspect,thames-valley,N106
107800005,public-order,2023-01,51.820255,-0.810663,On or near Shopping Area,Court result unavailable,thames-valley,N106
107800099,public-order,2023-01,51.822600,-0.801735,On or near ,Unable to prosecute suspect,thames-valley,N106
107799676,public-order,2023-01,51.810519,-0.821596,On or near St Mark's Road,Status update unavailable,thames-valley,N106
107799577,public-order,2023-01,51.803485,-0.807015,On or near Jenner Road,Unable to prosecute suspect,thames-valley,N106
107800047,public-order,2023-01,51.821657,-0.806158,On or near Manor Road,Unable to prosecute suspect,thames-valley,N106
107799595,public-order,2023-01,51.803738,-0.810648,On or near Clover Lane,Investigation complete; no suspect identified,thames-valley,N106
107799813,public-order,2023-01,51.815322,-0.800319,On or near ,Investigation complete; no suspect identified,thames-valley,N106
107799689,public-order,2023-01,51.811332,-0.804965,On or near Walton Grove,Court result unavailable,thames-valley,N106
107799818,public-order,2023-01,51.816135,-0.813151,On or near ,Unable to prosecute suspect,thames-valley,N106
107799820,public-order,2023-01,51.815542,-0.793712,On or near Grecian Street,Investigation complete; no suspect identified,thames-valley,N106
